smile: 😀  
happy: 😃  
laugh: 😂  
heart: ❤️  
dog: 🐶  
sun: 🌞  
rocket: 🚀  
love: 😍  
thumbs up: 👍  
crying: 😢  
sleeping: 😴  
angry: 😡  
tree: 🌲  
volcano: 🌋  
party: 🎉  
monkey: 🐵  
butterfly: 🦋  
spider: 🕷️  
lion: 🦁  
cake: 🍰  
moon: 🌙  
star: ⭐  
traffic signal: 🚦  
book: 📚  
writing: 📝  
guitar: 🎸  
car: 🚗  
airplane: ✈️  
football: ⚽  
mask: 🎭  
house: 🏡  
pizza: 🍕  
earth: 🌍  
rainbow: 🌈  
coffee: ☕  
fire: 🔥  
sunflower: 🌻  
trophy: 🏆  
music: 🎶  
alarm clock: ⏰  
pen: 🖊️  
movie: 🎬  
painting: 🎨  
beach: 🏖️  
bicycle: 🚲  
basketball: 🏀  
apple: 🍎  
camping: 🏕️  
ocean: 🌊  
microphone: 🎤  
